FIPS,POPESTIMATE2019,sq_miles,pop_density
1001,55869,633,88.260663507109
1003,223234,1742,128.14810562571756
1005,24686,932,26.487124463519315
1007,22394,643,34.82737169517885
1009,57826,682,84.78885630498533
1011,10101,656,15.397865853658537
1013,19448,797,24.40150564617315
1015,113605,633,179.47077409162716
1017,33254,626,53.12140575079872
1019,26196,620,42.251612903225805
1021,44428,727,61.11141678129299
1023,12589,948,13.279535864978904
1025,23622,1297,18.212798766383962
1027,13235,630,21.00793650793651
1029,14910,586,25.44368600682594
1031,52342,721,72.59639389736478
1033,55241,651,84.85560675883256
1035,12067,887,13.604284103720406
1037,10663,690,15.453623188405798
1039,37049,1081,34.27289546716004
1041,13772,634,21.722397476340696
1043,83768,784,106.84693877551021
1045,49172,593,82.92074198988196
1047,37196,1042,35.69673704414587
1049,71513,801,89.2796504369538
1051,81209,683,118.90043923865301
1053,36633,998,36.706412825651306
1055,102268,572,178.7902097902098
1057,16302,647,25.19629057187017
1059,31362,666,47.090090090090094
1061,26271,585,44.90769230769231
1063,8111,684,11.858187134502923
1065,14651,691,21.20260492040521
1067,17205,590,29.161016949152543
1069,105882,616,171.88636363636363
1071,51626,1165,44.31416309012876
1073,658573,1173,561.4433077578858
1075,13805,630,21.91269841269841
1077,92729,731,126.85225718194255
1079,32924,740,44.49189189189189
1081,164542,626,262.8466453674121
1083,98915,633,156.26382306477092
1085,9726,763,12.747051114023591
1087,18068,631,28.63391442155309
1089,372909,834,447.13309352517985
1091,18863,1026,18.384990253411306
1093,29709,783,37.94252873563219
1095,96774,647,149.57341576506954
1097,413210,1331,310.4507888805409
1099,20733,1081,19.179463459759482
1101,226486,820,276.20243902439023
1103,119679,620,193.03064516129032
1105,8923,752,11.865691489361701
1107,19930,935,21.315508021390375
1109,33114,693,47.78354978354978
1111,22722,613,37.06688417618271
1113,57961,672,86.2514880952381
1115,89512,671,133.40089418777944
1117,217702,829,262.60796139927623
1119,12427,938,13.248400852878465
1121,79978,795,100.60125786163522
1123,40367,789,51.162230671736374
1125,209355,1397,149.8604151753758
1127,63521,830,76.53132530120482
1129,16326,1109,14.72137060414788
1131,10373,918,11.299564270152505
1133,23629,659,35.855842185128985
4001,71887,11631,6.1806379503052185
4003,125922,6499,19.375596245576244
4005,143476,19304,7.432449233319519
4007,54018,4964,10.88195004029009
4009,38837,4785,8.116405433646813
4011,9498,1912,4.9675732217573225
4012,21108,4657,4.5325316727506975
4013,4485414,9577,468.35272005847344
4015,212181,13939,15.222110624865484
4017,110924,10322,10.746366983142801
4019,1047279,9519,110.01985502678853
4021,462789,5560,83.23543165467626
4023,46498,1293,35.96133023975251
4025,235099,8439,27.858632539400404
4027,213787,5747,37.19975639464068
5001,17486,1080,16.19074074074074
5003,19657,982,20.017311608961304
5005,41932,602,69.65448504983388
5007,279141,898,310.84743875278394
5009,37432,617,60.6677471636953
5011,10763,674,15.968842729970326
5013,5189,667,7.779610194902549
5015,28380,658,43.130699088145896
5017,10118,715,14.151048951048951
5019,22320,918,24.313725490196077
5021,14551,655,22.21526717557252
5023,24919,609,40.917898193760266
5025,7956,627,12.688995215311005
5027,23457,786,29.84351145038168
5029,20846,594,35.0942760942761
5031,110332,742,148.6954177897574
5033,63257,633,99.93206951026856
5035,47955,660,72.6590909090909
5037,16419,660,24.87727272727273
5039,7009,694,10.09942363112392
5041,11361,845,13.444970414201183
5043,18219,858,21.234265734265733
5045,126007,685,183.95182481751826
5047,17715,647,27.380216383307573
5049,12477,626,19.931309904153355
5051,99386,778,127.74550128534705
5053,18265,657,27.800608828006087
5055,45325,603,75.16583747927031
5057,21532,765,28.14640522875817
5059,33771,645,52.35813953488372
5061,13202,617,21.39708265802269
5063,37825,793,47.698612862547286
5065,13629,605,22.527272727272727
5067,16719,678,24.65929203539823
5069,66824,938,71.2409381663113
5071,26578,702,37.86039886039886
5073,6624,570,11.621052631578948
5075,16406,608,26.98355263157895
5077,8857,644,13.753105590062113
5079,13024,598,21.779264214046822
5081,12259,586,20.919795221843003
5083,21466,751,28.583222370173104
5085,73309,833,88.00600240096038
5087,16576,870,19.05287356321839
5089,16694,662,25.21752265861027
5091,43257,664,65.1460843373494
5093,40651,951,42.74553101997897
5095,6701,647,10.357032457496135
5097,8986,837,10.735961768219832
5099,8252,651,12.675883256528417
5101,7753,860,9.015116279069767
5103,23382,760,30.76578947368421
5105,10455,562,18.60320284697509
5107,17782,748,23.772727272727273
5109,10718,636,16.852201257861637
5111,23528,778,30.24164524421594
5113,19964,886,22.532731376975168
5115,64072,870,73.64597701149425
5117,8062,699,11.533619456366237
5119,391911,839,467.11680572109657
5121,17958,680,26.408823529411766
5123,24994,659,37.92716236722306
5125,122437,754,162.38328912466844
5127,10281,941,10.925611052072263
5129,7881,691,11.40520984081042
5131,127827,558,229.08064516129033
5133,17007,601,28.29783693843594
5135,17442,636,27.42452830188679
5137,12506,631,19.81933438985737
5139,38682,1088,35.55330882352941
5141,16545,746,22.17828418230563
5143,239187,987,242.33738601823708
5145,78753,1083,72.7174515235457
5147,6320,608,10.394736842105264
5149,21341,971,21.978372811534502
6001,1671329,769,2173.3797139141743
6003,1129,766,1.4738903394255876
6005,39752,628,63.29936305732484
6007,219186,1739,126.04140310523289
6009,45905,1073,42.781919850885366
6011,21547,1200,17.955833333333334
6013,1153526,788,1463.8654822335025
6015,27812,1045,26.614354066985644
6017,192843,1850,104.23945945945945
6019,999101,6214,160.78226585130352
6021,28393,1390,20.42661870503597
6023,135558,3743,36.21640395404756
6025,181215,4636,39.08865401207938
