FIPS,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
01001,0,55601,26995,28606
01001,1,3364,1728,1636
01001,2,3423,1779,1644
01001,3,3882,1977,1905
01001,4,3755,1913,1842
01001,5,3173,1629,1544
01001,6,3705,1830,1875
01001,7,3461,1659,1802
01001,8,3628,1767,1861
01001,9,3616,1717,1899
01001,10,3966,1912,2054
01001,11,3811,1845,1966
01001,12,3927,1956,1971
01001,13,3237,1496,1741
01001,14,2589,1228,1361
01001,15,2311,1019,1292
01001,16,1739,724,1015
01001,17,1143,487,656
01001,18,871,329,542
01003,0,218022,105657,112365
01003,1,11955,6135,5820
01003,2,12802,6519,6283
01003,3,13981,7049,6932
01003,4,12932,6398,6534
01003,5,11108,5632,5476
01003,6,12471,6145,6326
01003,7,12057,5941,6116
01003,8,13156,6318,6838
01003,9,12877,6261,6616
01003,10,14461,7038,7423
01003,11,14242,6817,7425
01003,12,15744,7416,8328
01003,13,15665,7307,8358
01003,14,14267,6622,7645
01003,15,12471,5974,6497
01003,16,8465,3946,4519
01003,17,5064,2384,2680
01003,18,4304,1755,2549
01005,0,24881,13133,11748
01005,1,1284,656,628
01005,2,1448,717,731
01005,3,1509,775,734
01005,4,1451,759,692
01005,5,1472,871,601
01005,6,1796,1133,663
01005,7,1670,992,678
01005,8,1531,923,608
01005,9,1450,867,583
01005,10,1624,929,695
01005,11,1603,847,756
01005,12,1675,826,849
01005,13,1536,749,787
01005,14,1540,701,839
01005,15,1337,608,729
01005,16,907,401,506
01005,17,576,231,345
01005,18,472,148,324
01007,0,22400,11921,10479
01007,1,1285,656,629
01007,2,1171,610,561
01007,3,1326,711,615
01007,4,1270,683,587
01007,5,1303,767,536
01007,6,1726,994,732
01007,7,1601,960,641
01007,8,1512,912,600
01007,9,1440,796,644
01007,10,1598,886,712
01007,11,1581,847,734
01007,12,1534,801,733
01007,13,1363,671,692
01007,14,1182,576,606
01007,15,992,455,537
01007,16,731,323,408
01007,17,422,165,257
01007,18,363,108,255
01009,0,57840,28500,29340
01009,1,3460,1723,1737
01009,2,3635,1838,1797
01009,3,3902,1923,1979
01009,4,3668,1882,1786
01009,5,3178,1680,1498
01009,6,3564,1791,1773
01009,7,3370,1687,1683
01009,8,3514,1775,1739
01009,9,3553,1739,1814
01009,10,3921,1969,1952
01009,11,3897,1923,1974
01009,12,3947,2034,1913
01009,13,3683,1785,1898
01009,14,3282,1564,1718
01009,15,2961,1329,1632
01009,16,1970,899,1071
01009,17,1303,588,715
01009,18,1032,371,661
01011,0,10138,5527,4611
01011,1,600,287,313
01011,2,598,303,295
01011,3,601,340,261
01011,4,529,268,261
01011,5,626,368,258
01011,6,769,486,283
01011,7,757,474,283
01011,8,689,419,270
01011,9,620,375,245
01011,10,654,406,248
01011,11,604,335,269
01011,12,752,393,359
01011,13,678,357,321
01011,14,541,264,277
01011,15,407,176,231
01011,16,296,123,173
01011,17,233,100,133
01011,18,184,53,131
01013,0,19680,9165,10515
01013,1,1119,564,555
01013,2,1232,658,574
01013,3,1288,695,593
01013,4,1173,626,547
01013,5,1090,554,536
01013,6,1196,593,603
01013,7,1083,453,630
01013,8,1254,584,670
01013,9,1136,491,645
01013,10,1182,541,641
01013,11,1131,495,636
01013,12,1360,597,763
01013,13,1441,680,761
01013,14,1242,560,682
01013,15,958,457,501
01013,16,702,282,420
01013,17,508,198,310
01013,18,585,137,448
01015,0,114277,54914,59363
01015,1,6580,3339,3241
01015,2,6561,3330,3231
01015,3,7146,3730,3416
01015,4,7491,3768,3723
01015,5,7286,3635,3651
01015,6,8177,4050,4127
01015,7,6882,3329,3553
01015,8,6983,3376,3607
01015,9,6663,3240,3423
01015,10,7064,3419,3645
01015,11,7239,3545,3694
01015,12,8086,3838,4248
01015,13,7872,3730,4142
01015,14,6769,3054,3715
01015,15,5307,2405,2902
01015,16,3672,1579,2093
01015,17,2388,916,1472
01015,18,2111,631,1480
01017,0,33615,16093,17522
01017,1,1929,1011,918
01017,2,1940,948,992
01017,3,1926,957,969
01017,4,1886,1022,864
01017,5,2007,995,1012
01017,6,2373,1181,1192
01017,7,1858,878,980
01017,8,1876,909,967
01017,9,1899,906,993
01017,10,2179,1054,1125
01017,11,2230,1090,1140
01017,12,2531,1215,1316
01017,13,2419,1139,1280
01017,14,2073,963,1110
01017,15,1767,791,976
01017,16,1205,519,686
01017,17,768,317,451
01017,18,749,198,551
01019,0,26032,12896,13136
01019,1,1206,608,598
01019,2,1348,712,636
01019,3,1482,750,732
01019,4,1499,746,753
01019,5,1304,685,619
01019,6,1548,821,727
01019,7,1206,575,631
01019,8,1298,635,663
01019,9,1471,731,740
01019,10,1733,863,870
01019,11,1857,980,877
01019,12,2016,991,1025
01019,13,2084,1010,1074
01019,14,1862,935,927
01019,15,1683,799,884
01019,16,1152,535,617
01019,17,747,336,411
01019,18,536,184,352
01021,0,44153,21668,22485
