FIPS,cases_now,cases_old,POPULATION
1001,68.0,37.0,55869
1003,216.0,161.0,223234
1005,58.0,33.0,24686
1007,45.0,38.0,22394
1009,44.0,34.0,57826
1011,22.0,12.0,10101
1013,178.0,32.0,19448
1015,124.0,91.0,113605
1017,314.0,285.0,33254
1019,22.0,14.0,26196
1021,64.0,51.0,44428
1023,61.0,32.0,12589
1025,52.0,25.0,23622
1027,26.0,19.0,13235
1029,13.0,12.0,14910
1031,146.0,95.0,52342
1033,64.0,23.0,55241
1035,13.0,9.0,12067
1037,31.0,29.0,10663
1039,50.0,33.0,37049
1041,38.0,11.0,13772
1043,63.0,50.0,83768
1045,43.0,25.0,49172
1047,102.0,33.0,37196
1049,142.0,70.0,71513
1051,135.0,79.0,81209
1053,36.0,25.0,36633
1055,170.0,125.0,102268
1057,7.0,5.0,16302
1059,216.0,41.0,31362
1061,13.0,8.0,26271
1063,70.0,46.0,8111
1065,66.0,41.0,14651
1067,28.0,22.0,17205
1069,104.0,77.0,105882
1071,59.0,45.0,51626
1073,1109.0,839.0,658573
1075,13.0,10.0,13805
1077,88.0,31.0,92729
1079,22.0,12.0,32924
1081,422.0,365.0,164542
1083,57.0,41.0,98915
1085,96.0,38.0,9726
1087,47.0,34.0,18068
1089,247.0,211.0,372909
1091,77.0,41.0,18863
1093,96.0,74.0,29709
1095,543.0,307.0,96774
1097,1452.0,917.0,413210
1099,15.0,12.0,20733
1101,576.0,289.0,226486
1103,92.0,64.0,119679
1105,19.0,9.0,8923
1107,65.0,48.0,19930
1109,89.0,62.0,33114
1111,102.0,60.0,22722
1113,77.0,53.0,57961
1115,81.0,64.0,89512
1117,362.0,311.0,217702
1119,98.0,53.0,12427
1121,73.0,57.0,79978
1123,316.0,274.0,40367
1125,274.0,192.0,209355
1127,106.0,92.0,63521
1129,51.0,26.0,16326
1131,80.0,56.0,10373
1133,20.0,11.0,23629
4001,710.0,336.0,71887
4003,41.0,36.0,125922
4005,679.0,420.0,143476
4007,19.0,11.0,54018
4009,19.0,7.0,38837
4011,2.0,2.0,9498
4012,22.0,7.0,21108
4013,5779.0,3359.0,4485414
4015,178.0,88.0,212181
4017,981.0,625.0,110924
4019,1554.0,1136.0,1047279
4021,585.0,342.0,462789
4023,40.0,30.0,46498
4025,175.0,76.0,235099
4027,176.0,59.0,213787
5001,2.0,2.0,17486
5003,17.0,13.0,19657
5005,5.0,5.0,41932
5007,116.0,93.0,279141
5009,4.0,5.0,37432
5011,11.0,8.0,10763
